"segment_id","user_id","user_ext_id","fact_type_id","resource_type_id"
15117,149447046,"63451412",5,3
15117,148003259,"63040787",5,3
15117,148361970,"63115169",5,3
15117,148320033,"63104511",5,3
15117,151929196,"63876153",5,3
15117,152112141,"63915623",5,3
15117,152105870,"63914311",5,3
15117,149562173,"63491759",5,3
15117,154166478,"64282722",5,3
15117,154213002,"64289750",5,3
15117,151576112,"63811507",5,3
15117,149450006,"63452859",5,3
15117,149298083,"63391117",5,3
15117,149784253,"63563097",5,3
15117,150111099,"63623908",5,3
15117,151415733,"63778501",5,3
15117,150869462,"63732564",5,3
15117,149358506,"63415189",5,3
15117,153903638,"64235374",5,3
15117,153407953,"64135242",5,3
15117,148447528,"63137256",5,3
15117,149194123,"63354102",5,3
15117,149124748,"63328945",5,3
15117,146195909,"62664780",5,3
15117,150339272,"63674990",5,3
15117,149261146,"63378418",5,3
15117,152970062,"64069028",5,3
15117,152846418,"64042594",5,3
15117,151863062,"63863837",5,3
15117,152663718,"64010248",5,3
15117,60813483,"44453323",5,3
15117,149630236,"63515856",5,3
15117,150698458,"63693618",5,3
15117,152353399,"63951635",5,3
15117,151704845,"63834594",5,3
15117,148890965,"63254674",5,3
15117,149751213,"63552179",5,3
15117,114733857,"53882641",5,3
15117,150086758,"63620187",5,3
15117,150779221,"63712860",5,3
15117,152680795,"64012878",5,3
15117,149745579,"63550804",5,3
15117,156020596,"64650646",5,3
15117,152992175,"64072995",5,3
15117,152945418,"64064320",5,3
15117,143980740,"62124053",5,3
15117,149269146,"63381121",5,3
15117,153221967,"64105144",5,3
15117,149659028,"63525855",5,3
15117,149457568,"63456874",5,3
15117,146080857,"62634029",5,3
15117,131503878,"58728235",5,3
15117,150311096,"63668619",5,3
15117,151651334,"63825571",5,3
15117,149485180,"63465301",5,3
15117,150758725,"63707683",5,3
15117,153185025,"64099400",5,3
15117,149524000,"63476637",5,3
15117,152879999,"64050966",5,3
15117,149575556,"63496538",5,3
15117,149453365,"63454521",5,3
15117,148707774,"63205665",5,3
15117,149640947,"63519814",5,3
15117,145197524,"62414359",5,3
15117,150106071,"63622761",5,3
15117,153286483,"64116138",5,3
15117,153946517,"64242649",5,3
15117,153276126,"64114347",5,3
15117,148997103,"63286639",5,3
15117,153874006,"64228093",5,3
15117,148694357,"63201576",5,3
15117,149372202,"63420719",5,3
15117,151474337,"63788967",5,3
15117,152401038,"63956853",5,3
15117,149913039,"63587688",5,3
15117,150915687,"63742346",5,3
15117,153769986,"64203677",5,3
15117,151953661,"63881853",5,3
15117,153565419,"64164021",5,3
15117,151504654,"63795563",5,3
15117,149692885,"63535651",5,3
15117,154216801,"64290360",5,3
15117,154306853,"64305555",5,3
15117,149683830,"63533310",5,3
15117,148899201,"63257285",5,3
15117,137176940,"60476573",5,3
15117,151365290,"63770014",5,3
15117,152126217,"63918454",5,3
15117,149895376,"63582814",5,3
15117,150359461,"63679655",5,3
15117,154209337,"64289260",5,3
15117,149144638,"63334179",5,3
15117,149162794,"63341666",5,3
15117,149597085,"63504220",5,3
15117,148817213,"63234718",5,3
15117,152673020,"64011718",5,3
15117,148965100,"63276447",5,3
15117,150268493,"63661099",5,3
15117,149674182,"63530458",5,3
15117,148974758,"63279697",5,3
15117,151367696,"63770474",5,3
15117,147121438,"62872217",5,3
15117,148542027,"63161018",5,3
15117,150119747,"63626314",5,3
15117,154376339,"64380530",5,3
15117,153736462,"64198856",5,3
15117,146712813,"62786494",5,3
15117,152810188,"64036209",5,3
15117,153881494,"64230324",5,3
15117,148799701,"63230575",5,3
15117,152149540,"63923431",5,3
15117,155057729,"64535533",5,3
15117,149440977,"63448558",5,3
15117,150298780,"63666357",5,3
15117,151780845,"63848302",5,3
15117,151046892,"63755535",5,3
15117,151965109,"63884086",5,3
15117,150729839,"63701743",5,3
15117,150329990,"63672930",5,3
15117,147467920,"62941686",5,3
15117,145440253,"62465388",5,3
15117,149194250,"63354161",5,3
15117,142573554,"61815997",5,3
15117,148368622,"63117252",5,3
15117,125310043,"56964317",5,3
15117,150037858,"63613000",5,3
