"audience_name","event_date","user_id","raw_value"
Novo Cashback - 16/12,2024-12-17,149432297,10.00
Novo Cashback - 16/12,2024-12-17,150920797,50.00
Novo Cashback - 16/12,2024-12-17,156480685,35.00
Novo Cashback - 16/12,2024-12-17,156385730,10.00
Novo Cashback - 16/12,2024-12-17,132190709,5.00
Novo Cashback - 16/12,2024-12-17,148319251,30.00
Novo Cashback - 16/12,2024-12-17,153150480,20.00
Novo Cashback - 16/12,2024-12-17,151476506,100.00
Novo Cashback - 16/12,2024-12-17,43202485,8.00
Novo Cashback - 16/12,2024-12-17,43925784,45.00
Novo Cashback - 16/12,2024-12-17,43579416,35.00
Novo Cashback - 16/12,2024-12-17,102773543,40.00
Novo Cashback - 16/12,2024-12-17,154502658,30.00
Novo Cashback - 16/12,2024-12-17,43658487,5.00
Novo Cashback - 16/12,2024-12-17,148643574,50.00
Novo Cashback - 16/12,2024-12-17,118584938,50.00
Novo Cashback - 16/12,2024-12-17,154131230,30.00
Novo Cashback - 16/12,2024-12-17,43195154,100.00
Novo Cashback - 16/12,2024-12-17,149628700,50.00
Novo Cashback - 16/12,2024-12-17,147611509,30.00
Novo Cashback - 16/12,2024-12-17,43214727,30.00
Novo Cashback - 16/12,2024-12-17,148544372,30.00
Novo Cashback - 16/12,2024-12-17,43243910,100.00
Novo Cashback - 16/12,2024-12-17,43237337,5.00
Novo Cashback - 16/12,2024-12-17,43166485,47.00
Novo Cashback - 16/12,2024-12-17,43303818,20.00
Novo Cashback - 16/12,2024-12-17,148541861,20.00
Novo Cashback - 16/12,2024-12-17,148694751,1000.00
Novo Cashback - 16/12,2024-12-17,152581244,20.00
Novo Cashback - 16/12,2024-12-17,43201896,15.00
Novo Cashback - 16/12,2024-12-17,152890905,5.00
Novo Cashback - 16/12,2024-12-17,55519414,55.00
Novo Cashback - 16/12,2024-12-17,150710931,50.00
Novo Cashback - 16/12,2024-12-17,154742024,30.00
Novo Cashback - 16/12,2024-12-17,43296782,25.00
Novo Cashback - 16/12,2024-12-17,43167915,170.00
Novo Cashback - 16/12,2024-12-17,44322181,40.00
Novo Cashback - 16/12,2024-12-17,147767761,38.00
Novo Cashback - 16/12,2024-12-17,121334787,50.00
Novo Cashback - 16/12,2024-12-17,149557582,20.00
